Date&Time,TIKER,PER,OPEN,HIGH,LOW,CLOSE,VOLUME
2016-01-04 11:00:00,SPFB.GAZP,60,13912.0,13943.0,13850.0,13877.0,13373
2016-01-04 12:00:00,SPFB.GAZP,60,13876.0,13876.0,13726.0,13754.0,16647
2016-01-04 13:00:00,SPFB.GAZP,60,13754.0,13806.0,13724.0,13797.0,5228
2016-01-04 14:00:00,SPFB.GAZP,60,13797.0,13802.0,13747.0,13800.0,8862
2016-01-04 15:00:00,SPFB.GAZP,60,13800.0,13828.0,13769.0,13785.0,9600
2016-01-04 16:00:00,SPFB.GAZP,60,13790.0,13811.0,13772.0,13774.0,5472
2016-01-04 17:00:00,SPFB.GAZP,60,13774.0,13808.0,13759.0,13793.0,4403
2016-01-04 18:00:00,SPFB.GAZP,60,13795.0,13826.0,13777.0,13795.0,4495
2016-01-04 19:00:00,SPFB.GAZP,60,13795.0,13826.0,13770.0,13770.0,7322
2016-01-04 20:00:00,SPFB.GAZP,60,13765.0,13787.0,13664.0,13673.0,5558
2016-01-04 21:00:00,SPFB.GAZP,60,13672.0,13700.0,13672.0,13694.0,1164
2016-01-04 22:00:00,SPFB.GAZP,60,13695.0,13728.0,13693.0,13720.0,1407
2016-01-04 23:00:00,SPFB.GAZP,60,13719.0,13729.0,13704.0,13714.0,1044
2016-01-05 00:00:00,SPFB.GAZP,60,13715.0,13769.0,13704.0,13747.0,2745
2016-01-05 11:00:00,SPFB.GAZP,60,13758.0,13813.0,13746.0,13785.0,9375
2016-01-05 12:00:00,SPFB.GAZP,60,13784.0,13884.0,13770.0,13867.0,15249
2016-01-05 13:00:00,SPFB.GAZP,60,13865.0,13871.0,13782.0,13800.0,7281
2016-01-05 14:00:00,SPFB.GAZP,60,13799.0,13799.0,13735.0,13773.0,5194
2016-01-05 15:00:00,SPFB.GAZP,60,13776.0,13792.0,13747.0,13790.0,2072
2016-01-05 16:00:00,SPFB.GAZP,60,13791.0,13842.0,13770.0,13837.0,4170
2016-01-05 17:00:00,SPFB.GAZP,60,13838.0,14002.0,13824.0,13947.0,20836
2016-01-05 18:00:00,SPFB.GAZP,60,13949.0,13985.0,13893.0,13901.0,13561
2016-01-05 19:00:00,SPFB.GAZP,60,13897.0,13935.0,13885.0,13925.0,7129
2016-01-05 20:00:00,SPFB.GAZP,60,13941.0,13985.0,13930.0,13954.0,4187
2016-01-05 21:00:00,SPFB.GAZP,60,13955.0,13957.0,13940.0,13951.0,464
2016-01-05 22:00:00,SPFB.GAZP,60,13952.0,13976.0,13945.0,13970.0,453
2016-01-05 23:00:00,SPFB.GAZP,60,13972.0,13972.0,13948.0,13960.0,537
2016-01-06 00:00:00,SPFB.GAZP,60,13960.0,13976.0,13950.0,13965.0,1237
2016-01-06 11:00:00,SPFB.GAZP,60,13965.0,13969.0,13903.0,13926.0,9537
2016-01-06 12:00:00,SPFB.GAZP,60,13926.0,13950.0,13875.0,13921.0,11335
2016-01-06 13:00:00,SPFB.GAZP,60,13925.0,13944.0,13883.0,13892.0,5202
2016-01-06 14:00:00,SPFB.GAZP,60,13891.0,13906.0,13807.0,13810.0,8289
2016-01-06 15:00:00,SPFB.GAZP,60,13814.0,13852.0,13800.0,13835.0,2912
2016-01-06 16:00:00,SPFB.GAZP,60,13832.0,13851.0,13801.0,13850.0,5287
2016-01-06 17:00:00,SPFB.GAZP,60,13850.0,13884.0,13832.0,13868.0,3777
2016-01-06 18:00:00,SPFB.GAZP,60,13866.0,13870.0,13817.0,13837.0,6411
2016-01-06 19:00:00,SPFB.GAZP,60,13833.0,13875.0,13824.0,13860.0,7465
2016-01-06 20:00:00,SPFB.GAZP,60,13877.0,13909.0,13842.0,13893.0,2628
2016-01-06 21:00:00,SPFB.GAZP,60,13898.0,13905.0,13884.0,13884.0,554
2016-01-06 22:00:00,SPFB.GAZP,60,13884.0,13898.0,13876.0,13882.0,616
2016-01-06 23:00:00,SPFB.GAZP,60,13882.0,13905.0,13879.0,13895.0,804
2016-01-07 00:00:00,SPFB.GAZP,60,13895.0,13909.0,13889.0,13890.0,871
2016-01-11 11:00:00,SPFB.GAZP,60,13890.0,13890.0,13385.0,13523.0,52125
2016-01-11 12:00:00,SPFB.GAZP,60,13526.0,13623.0,13452.0,13547.0,31298
2016-01-11 13:00:00,SPFB.GAZP,60,13543.0,13563.0,13478.0,13507.0,12336
2016-01-11 14:00:00,SPFB.GAZP,60,13507.0,13511.0,13433.0,13451.0,8303
2016-01-11 15:00:00,SPFB.GAZP,60,13451.0,13470.0,13395.0,13422.0,11609
2016-01-11 16:00:00,SPFB.GAZP,60,13420.0,13442.0,13408.0,13436.0,5319
2016-01-11 17:00:00,SPFB.GAZP,60,13434.0,13472.0,13398.0,13448.0,11811
2016-01-11 18:00:00,SPFB.GAZP,60,13443.0,13507.0,13416.0,13442.0,14382
2016-01-11 19:00:00,SPFB.GAZP,60,13441.0,13443.0,13364.0,13375.0,13998
2016-01-11 20:00:00,SPFB.GAZP,60,13380.0,13401.0,13260.0,13305.0,8255
2016-01-11 21:00:00,SPFB.GAZP,60,13305.0,13321.0,13280.0,13310.0,2834
2016-01-11 22:00:00,SPFB.GAZP,60,13310.0,13318.0,13264.0,13281.0,2354
2016-01-11 23:00:00,SPFB.GAZP,60,13280.0,13304.0,13271.0,13284.0,1478
2016-01-12 00:00:00,SPFB.GAZP,60,13287.0,13334.0,13265.0,13310.0,2771
2016-01-12 11:00:00,SPFB.GAZP,60,13306.0,13384.0,13264.0,13369.0,27564
2016-01-12 12:00:00,SPFB.GAZP,60,13369.0,13512.0,13353.0,13454.0,30736
2016-01-12 13:00:00,SPFB.GAZP,60,13452.0,13616.0,13440.0,13610.0,29729
2016-01-12 14:00:00,SPFB.GAZP,60,13613.0,13748.0,13570.0,13737.0,24409
2016-01-12 15:00:00,SPFB.GAZP,60,13737.0,13762.0,13625.0,13653.0,18743
2016-01-12 16:00:00,SPFB.GAZP,60,13653.0,13710.0,13641.0,13669.0,9434
2016-01-12 17:00:00,SPFB.GAZP,60,13670.0,13755.0,13596.0,13736.0,24929
2016-01-12 18:00:00,SPFB.GAZP,60,13737.0,13795.0,13700.0,13721.0,32218
2016-01-12 19:00:00,SPFB.GAZP,60,13721.0,13733.0,13562.0,13594.0,20966
2016-01-12 20:00:00,SPFB.GAZP,60,13564.0,13622.0,13486.0,13544.0,12005
2016-01-12 21:00:00,SPFB.GAZP,60,13545.0,13604.0,13538.0,13549.0,6268
2016-01-12 22:00:00,SPFB.GAZP,60,13548.0,13585.0,13536.0,13561.0,1976
2016-01-12 23:00:00,SPFB.GAZP,60,13564.0,13623.0,13520.0,13620.0,4785
2016-01-13 00:00:00,SPFB.GAZP,60,13620.0,13656.0,13605.0,13656.0,3808
2016-01-13 11:00:00,SPFB.GAZP,60,13656.0,13717.0,13642.0,13672.0,21580
2016-01-13 12:00:00,SPFB.GAZP,60,13672.0,13702.0,13613.0,13628.0,21862
2016-01-13 13:00:00,SPFB.GAZP,60,13626.0,13648.0,13547.0,13558.0,16224
2016-01-13 14:00:00,SPFB.GAZP,60,13557.0,13578.0,13526.0,13556.0,11202
2016-01-13 15:00:00,SPFB.GAZP,60,13559.0,13583.0,13506.0,13508.0,8469
2016-01-13 16:00:00,SPFB.GAZP,60,13507.0,13507.0,13471.0,13479.0,12971
2016-01-13 17:00:00,SPFB.GAZP,60,13479.0,13515.0,13457.0,13479.0,13320
